               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12221,            0.007439,            0.075196,           0.0021706,             0.22411,           0.0032129,          0.00076278,             0.11602,           0.0063045,            0.074892,              0.0955,              0.0005,              0.0005
                   1,             0.11781,           0.0080053,            0.071709,           0.0032456,             0.40407,           0.0050899,           0.0018177,             0.10987,           0.0065318,            0.069033,            0.090098,           0.0010978,           0.0010978
                   2,             0.10967,            0.009497,            0.066934,           0.0026369,             0.39813,           0.0088639,           0.0030345,             0.10569,           0.0065779,            0.062485,            0.084693,           0.0016933,           0.0016933
                   3,             0.10191,           0.0095554,            0.060141,             0.00363,              0.5781,            0.057011,            0.014821,             0.10179,            0.006459,            0.057978,            0.079286,           0.0022863,           0.0022863
                   4,            0.098684,            0.010308,            0.056539,           0.0033325,             0.63073,             0.19089,             0.06794,            0.098578,           0.0064509,             0.05192,            0.073877,            0.002877,            0.002877
                   5,            0.093406,            0.010003,            0.044913,             0.21247,             0.39219,             0.30194,             0.16147,            0.092136,             0.00656,             0.04451,            0.068465,           0.0034654,           0.0034654
                   6,            0.091315,            0.010528,            0.042489,            0.086416,             0.15959,            0.078165,            0.018809,            0.092318,           0.0065188,            0.037138,            0.063051,           0.0040513,           0.0040513
                   7,            0.087934,           0.0095762,            0.035443,             0.24719,             0.28379,              0.2743,            0.072225,            0.089044,           0.0061662,            0.032089,            0.057635,           0.0046349,           0.0046349
                   8,            0.083859,            0.010076,            0.033117,             0.25043,             0.34389,             0.14624,            0.049672,             0.08831,           0.0059421,            0.028389,            0.052216,            0.005216,            0.005216
                   9,            0.086586,           0.0098509,            0.025884,             0.27642,             0.34689,             0.20732,            0.068072,            0.085938,           0.0057034,            0.025304,            0.046795,           0.0057949,           0.0057949
                  10,            0.082528,           0.0089014,            0.024403,             0.29881,             0.22835,             0.24288,            0.075269,            0.086309,           0.0055908,            0.021155,            0.041371,           0.0063713,           0.0063713
                  11,            0.084683,           0.0093147,            0.023346,             0.44768,             0.39219,             0.34523,             0.14806,            0.083996,           0.0053805,            0.024935,            0.035945,           0.0069454,           0.0069454
                  12,            0.078378,           0.0098739,            0.020081,             0.10939,             0.35144,             0.10108,            0.042296,            0.086049,           0.0050215,            0.017471,            0.030517,            0.007517,            0.007517
                  13,            0.079078,           0.0089975,            0.020224,             0.14525,             0.44652,              0.1374,            0.049074,            0.087592,           0.0049507,             0.01239,            0.025086,           0.0080864,           0.0080864
                  14,            0.080461,           0.0087231,            0.015209,             0.37207,             0.35188,             0.24996,            0.089671,            0.088768,           0.0046438,            0.011436,            0.019653,           0.0086533,           0.0086533
                  15,            0.084376,           0.0077529,            0.014949,             0.35905,               0.382,             0.35372,             0.10464,             0.08673,           0.0045176,            0.010573,            0.014218,           0.0092178,           0.0092178
                  16,            0.078387,           0.0097482,            0.015432,             0.25706,             0.49321,             0.20338,            0.071104,            0.080412,           0.0047667,           0.0098407,           0.0096832,           0.0096832,           0.0096832
                  17,            0.078773,           0.0092182,            0.013321,             0.40259,             0.45671,             0.44179,              0.1885,            0.079009,           0.0045513,           0.0086669,           0.0096832,           0.0096832,           0.0096832
                  18,            0.068751,           0.0082292,             0.01209,              0.3078,             0.38795,             0.26028,            0.092227,            0.079556,           0.0045284,           0.0081088,           0.0096634,           0.0096634,           0.0096634
                  19,            0.073387,           0.0091453,            0.011579,             0.60897,             0.28693,             0.32897,             0.11166,            0.081174,           0.0044185,           0.0099011,           0.0096436,           0.0096436,           0.0096436
                  20,             0.07069,           0.0086481,            0.010798,              0.3493,             0.27674,             0.31107,             0.10356,            0.070603,            0.004882,            0.012104,           0.0096238,           0.0096238,           0.0096238
                  21,            0.074935,           0.0074817,            0.010686,             0.41529,             0.31593,             0.31319,             0.17013,            0.081499,           0.0043806,           0.0089882,            0.009604,            0.009604,            0.009604
                  22,             0.07418,           0.0082196,           0.0096405,             0.33805,             0.37606,             0.22028,            0.067808,            0.081297,           0.0044789,           0.0090971,           0.0095842,           0.0095842,           0.0095842
                  23,            0.071746,           0.0089925,           0.0097315,             0.34699,             0.38399,             0.29989,            0.094114,             0.08253,           0.0042058,           0.0081411,           0.0095644,           0.0095644,           0.0095644
                  24,            0.071429,           0.0095334,           0.0083597,             0.28516,             0.41851,             0.32504,             0.11572,            0.070907,           0.0045729,           0.0073028,           0.0095446,           0.0095446,           0.0095446
                  25,            0.070745,             0.00886,           0.0093858,             0.48391,             0.36458,             0.40205,             0.16385,            0.065261,           0.0047535,            0.006934,           0.0095248,           0.0095248,           0.0095248
                  26,            0.067914,           0.0088144,            0.010691,             0.66993,             0.43888,             0.44899,             0.21058,            0.078068,           0.0041429,           0.0056785,            0.009505,            0.009505,            0.009505
                  27,            0.063008,           0.0097516,           0.0085595,             0.54796,             0.25786,              0.2578,            0.086056,            0.070309,           0.0047877,            0.011953,           0.0094852,           0.0094852,           0.0094852
                  28,            0.064466,           0.0082987,           0.0077722,             0.31313,             0.28693,             0.19295,            0.078326,            0.072156,           0.0046346,            0.013588,           0.0094654,           0.0094654,           0.0094654
                  29,            0.067759,           0.0090018,           0.0078061,             0.27788,             0.26486,             0.18919,            0.098955,            0.071336,           0.0047356,            0.008571,           0.0094456,           0.0094456,           0.0094456
                  30,            0.067308,           0.0094641,           0.0087236,             0.24989,             0.29542,             0.23207,            0.068675,            0.066211,           0.0046721,           0.0053827,           0.0094258,           0.0094258,           0.0094258
                  31,            0.060909,           0.0080662,           0.0069321,             0.35548,             0.36418,             0.26073,             0.08237,             0.06958,           0.0042765,           0.0054658,            0.009406,            0.009406,            0.009406
                  32,            0.065469,           0.0077653,           0.0088902,             0.41782,             0.40068,             0.45842,             0.18205,            0.054537,           0.0046837,           0.0058154,           0.0093862,           0.0093862,           0.0093862
                  33,            0.055779,           0.0083266,            0.008146,             0.79619,             0.46944,              0.4942,             0.25521,            0.059803,           0.0043941,           0.0058492,           0.0093664,           0.0093664,           0.0093664
                  34,            0.060735,           0.0082032,           0.0086296,             0.55169,             0.36418,             0.37452,             0.11144,            0.061637,           0.0042745,           0.0063562,           0.0093466,           0.0093466,           0.0093466
                  35,            0.053022,           0.0079117,            0.007721,             0.59735,             0.28523,             0.38385,             0.12123,            0.069173,           0.0039488,           0.0062502,           0.0093268,           0.0093268,           0.0093268
                  36,            0.057558,            0.008908,            0.011677,               0.588,             0.45895,             0.55198,             0.21345,            0.066856,           0.0039037,           0.0058998,            0.009307,            0.009307,            0.009307
                  37,            0.055301,           0.0081187,           0.0073153,             0.33818,             0.50509,             0.33745,             0.09721,            0.067729,           0.0037911,           0.0048872,           0.0092872,           0.0092872,           0.0092872
                  38,            0.055516,           0.0089406,           0.0069248,             0.47499,             0.65966,             0.48146,             0.19931,            0.057632,           0.0040319,           0.0050431,           0.0092674,           0.0092674,           0.0092674
                  39,            0.052141,           0.0075859,           0.0061117,             0.42324,             0.59847,             0.48153,             0.18636,            0.068867,           0.0036155,           0.0049431,           0.0092476,           0.0092476,           0.0092476
                  40,            0.054633,           0.0074248,           0.0065526,             0.37049,             0.63667,             0.45528,             0.15342,            0.056451,           0.0040103,           0.0044465,           0.0092278,           0.0092278,           0.0092278
                  41,            0.052253,           0.0081395,           0.0074285,             0.64826,             0.54768,             0.70818,             0.38578,            0.053008,           0.0038243,           0.0041249,            0.009208,            0.009208,            0.009208
                  42,            0.055918,           0.0084953,           0.0070209,             0.54329,             0.64686,             0.63995,             0.25948,            0.053962,           0.0038362,           0.0041979,           0.0091882,           0.0091882,           0.0091882
                  43,            0.056145,           0.0077681,           0.0058692,             0.64822,             0.57001,             0.61325,             0.24389,            0.050781,           0.0038564,            0.004131,           0.0091684,           0.0091684,           0.0091684
                  44,            0.056764,           0.0076659,           0.0068517,             0.86155,             0.59847,             0.76369,             0.39163,            0.055237,           0.0036681,            0.004136,           0.0091486,           0.0091486,           0.0091486
                  45,            0.050393,           0.0085275,           0.0064656,             0.55357,             0.60944,             0.64955,             0.35635,            0.052535,           0.0038798,            0.004299,           0.0091288,           0.0091288,           0.0091288
                  46,            0.052173,            0.008122,           0.0063817,             0.54979,             0.64092,             0.67343,             0.41425,            0.048373,           0.0039182,           0.0042902,            0.009109,            0.009109,            0.009109
                  47,            0.050613,           0.0077129,            0.007103,             0.75891,             0.54584,             0.68725,             0.42805,            0.052851,           0.0038424,           0.0042934,           0.0090892,           0.0090892,           0.0090892
                  48,            0.052484,           0.0063452,           0.0072465,             0.73542,             0.57216,               0.731,             0.44918,            0.044037,           0.0040773,           0.0042678,           0.0090694,           0.0090694,           0.0090694
                  49,            0.046764,           0.0076959,           0.0051418,             0.78271,             0.57216,             0.75575,             0.40649,            0.044953,           0.0040063,            0.004198,           0.0090496,           0.0090496,           0.0090496
                  50,            0.050271,           0.0082131,           0.0054345,              0.7112,             0.54312,              0.6525,              0.3776,            0.055481,           0.0037261,           0.0041366,           0.0090298,           0.0090298,           0.0090298
                  51,            0.048199,           0.0073855,            0.005206,             0.65079,             0.54584,             0.64703,             0.31809,            0.054811,           0.0036994,           0.0039335,             0.00901,             0.00901,             0.00901
                  52,            0.050832,            0.009072,           0.0053063,             0.76948,              0.6509,             0.83113,             0.53156,            0.039939,           0.0040192,           0.0039536,           0.0089902,           0.0089902,           0.0089902
                  53,            0.052872,           0.0074536,           0.0058438,              0.8821,             0.58829,             0.77862,             0.48126,            0.043592,           0.0038766,            0.004002,           0.0089704,           0.0089704,           0.0089704
                  54,            0.048652,           0.0071078,            0.004908,             0.78763,             0.56197,             0.69528,             0.41249,            0.049973,           0.0037653,           0.0038885,           0.0089506,           0.0089506,           0.0089506
                  55,            0.049975,           0.0077787,           0.0048308,             0.73119,             0.66299,             0.77825,             0.45322,            0.045382,           0.0037731,           0.0037805,           0.0089308,           0.0089308,           0.0089308
                  56,            0.046276,           0.0072787,           0.0048578,             0.60382,             0.75806,             0.72526,             0.44525,            0.040068,           0.0038412,           0.0037121,            0.008911,            0.008911,            0.008911
